"YR","start","end","Start2","End2","ImgStart20d","ImgEnd5d","ImgStarttxt","ImgEndtxt","MonthSt","MonthEnd"
2008,14070,14133,2008-07-10,2008-09-11,2008-06-20,2008-07-14,"2008-06-20T00:00:00.000Z","2008-07-14T00:00:00.000Z",7,7
2009,14434,14517,2009-07-09,2009-09-30,2009-06-19,2009-07-13,"2009-06-19T00:00:00.000Z","2009-07-13T00:00:00.000Z",7,7
2010,14816,14841,2010-07-26,2010-08-20,2010-07-06,2010-07-30,"2010-07-06T00:00:00.000Z","2010-07-30T00:00:00.000Z",7,7
2011,15142,15247,2011-06-17,2011-09-30,2011-05-28,2011-06-21,"2011-05-28T00:00:00.000Z","2011-06-21T00:00:00.000Z",6,6
2012,15532,15570,2012-07-11,2012-08-18,2012-06-21,2012-07-15,"2012-06-21T00:00:00.000Z","2012-07-15T00:00:00.000Z",7,7
2013,15887,15963,2013-07-01,2013-09-15,2013-06-11,2013-07-05,"2013-06-11T00:00:00.000Z","2013-07-05T00:00:00.000Z",7,7
2014,16229,16329,2014-06-08,2014-09-16,2014-05-19,2014-06-12,"2014-05-19T00:00:00.000Z","2014-06-12T00:00:00.000Z",6,6
2015,16599,16679,2015-06-13,2015-09-01,2015-05-24,2015-06-17,"2015-05-24T00:00:00.000Z","2015-06-17T00:00:00.000Z",6,6
2016,16959,17052,2016-06-07,2016-09-08,2016-05-18,2016-06-11,"2016-05-18T00:00:00.000Z","2016-06-11T00:00:00.000Z",6,6
2017,17330,17430,2017-06-13,2017-09-21,2017-05-24,2017-06-17,"2017-05-24T00:00:00.000Z","2017-06-17T00:00:00.000Z",6,6
2018,17702,17775,2018-06-20,2018-09-01,2018-05-31,2018-06-24,"2018-05-31T00:00:00.000Z","2018-06-24T00:00:00.000Z",6,6
